Model,Language,SampleID,Test_Suite,Result,ExecutionTime_ms
GPT4,Java,1,Hard,N_Correct,52.0
GPT4,Java,2,Hard,N_Correct,36.0
GPT4,Java,3,Hard,N_Correct,48.0
GPT4,Java,4,Hard,N_Correct,44.0
GPT4,Java,5,Hard,N_Correct,34.0
GPT4,Java,6,Hard,N_Correct,34.0
GPT4,Java,7,Hard,N_Correct,43.0
GPT4,Java,8,Hard,N_Correct,29.0
GPT4,Java,9,Hard,N_Correct,32.0
GPT4,Java,10,Hard,N_Correct,35.0
GPT4,Java,11,Hard,N_Correct,35.0
GPT4,Java,12,Hard,N_Correct,34.0
GPT4,Java,13,Hard,N_Correct,33.0
GPT4,Java,14,Hard,N_Correct,25.0
GPT4,Java,15,Hard,N_Correct,26.0
GPT4,Java,16,Hard,N_Correct,36.0
GPT4,Java,17,Hard,N_Correct,34.0
GPT4,Java,18,Hard,N_Correct,36.0
GPT4,Java,19,Hard,N_Correct,27.0
GPT4,Java,20,Hard,N_Correct,36.0
GPT4,Java,21,Hard,N_Correct,36.0
GPT4,Java,22,Hard,N_Correct,52.0
GPT4,Java,23,Hard,N_Efficiency,67.0
GPT4,Java,24,Hard,N_Logical,0.0
GPT4,Java,25,Hard,N_Correct,38.0
GPT4,Java,26,Hard,N_Correct,38.0
GPT4,Java,27,Hard,N_Correct,35.0
GPT4,Java,28,Hard,N_Correct,31.0
GPT4,Java,29,Hard,N_Correct,47.0
GPT4,Java,30,Hard,N_Correct,38.0
GPT4,Java,31,Hard,N_Correct,35.0
GPT4,Java,32,Hard,N_Correct,50.0
GPT4,Java,33,Hard,N_Correct,52.0
GPT4,Java,34,Hard,N_Correct,57.0
GPT4,Java,35,Hard,N_Correct,24.0
GPT4,Java,36,Hard,N_Correct,48.0
GPT4,Java,37,Hard,N_Correct,38.0
GPT4,Java,38,Hard,N_Correct,34.0
GPT4,Java,39,Hard,N_Correct,33.0
GPT4,Java,40,Hard,N_Correct,50.0
GPT4,Java,41,Hard,N_Correct,36.0
GPT4,Java,42,Hard,N_Correct,29.0
GPT4,Java,43,Hard,N_Logical,0.0
GPT4,Java,44,Hard,N_Correct,63.0
GPT4,Java,45,Hard,N_Correct,41.0
GPT4,Java,46,Hard,N_Correct,35.0
GPT4,Java,47,Hard,N_Correct,38.0
GPT4,Java,48,Hard,N_Correct,29.0
GPT4,Java,49,Hard,N_Correct,26.0
GPT4,Java,50,Hard,N_Correct,30.0
GPT4,Java,51,Hard,N_Correct,35.0
GPT4,Java,52,Hard,N_Correct,46.0
GPT4,Java,53,Hard,N_Correct,55.0
GPT4,Java,54,Hard,N_Correct,53.0
GPT4,Java,55,Hard,N_Correct,30.0
GPT4,Java,56,Hard,N_Correct,48.0
GPT4,Java,57,Hard,N_Correct,33.0
GPT4,Java,58,Hard,N_Correct,46.0
GPT4,Java,59,Hard,N_Correct,30.0
GPT4,Java,60,Hard,N_Correct,29.0
GPT4,Java,61,Hard,N_Correct,38.0
GPT4,Java,62,Hard,N_Correct,26.0
GPT4,Java,63,Hard,N_Correct,27.0
GPT4,Java,64,Hard,N_Correct,39.0
GPT4,Java,65,Hard,N_Correct,29.0
GPT4,Java,66,Hard,N_Logical,0.0
GPT4,Java,67,Hard,N_Correct,35.0
GPT4,Java,68,Hard,N_Correct,48.0
GPT4,Java,69,Hard,N_Logical,0.0
GPT4,Java,70,Hard,N_Correct,37.0
GPT4,Java,71,Hard,N_Correct,27.0
GPT4,Java,72,Hard,N_Correct,35.0
GPT4,Java,73,Hard,N_Correct,36.0
GPT4,Java,74,Hard,N_Correct,30.0
GPT4,Java,75,Hard,N_Correct,35.0
GPT4,Java,76,Hard,N_Efficiency,0.0
GPT4,Java,77,Hard,N_Correct,35.0
GPT4,Java,78,Hard,N_Correct,49.0
GPT4,Java,79,Hard,N_Correct,59.0
GPT4,Java,80,Hard,N_Correct,57.0
GPT4,Java,81,Hard,N_Correct,24.0
GPT4,Java,82,Hard,N_Correct,26.0
GPT4,Java,83,Hard,N_Correct,36.0
GPT4,Java,84,Hard,N_Efficiency,70.0
GPT4,Java,85,Hard,N_Correct,30.0
GPT4,Java,86,Hard,N_Correct,29.0
GPT4,Java,87,Hard,N_Logical,0.0
GPT4,Java,88,Hard,N_Correct,55.0
GPT4,Java,89,Hard,N_Correct,26.0
GPT4,Java,90,Hard,N_Correct,39.0
GPT4,Java,91,Hard,N_Correct,51.0
GPT4,Java,92,Hard,N_Correct,37.0
