Model,Language,SampleID,Test_Suite,Result,ExecutionTime_ms
GPT4,Java,1,Medium,N_Correct,11.0
GPT4,Java,2,Medium,N_Correct,10.0
GPT4,Java,3,Medium,N_Correct,13.0
GPT4,Java,4,Medium,N_Correct,9.0
GPT4,Java,5,Medium,N_Correct,10.0
GPT4,Java,6,Medium,N_Correct,7.0
GPT4,Java,7,Medium,N_Correct,11.0
GPT4,Java,8,Medium,N_Correct,9.0
GPT4,Java,9,Medium,N_Correct,10.0
GPT4,Java,10,Medium,N_Correct,11.0
GPT4,Java,11,Medium,N_Correct,11.0
GPT4,Java,12,Medium,N_Correct,9.0
GPT4,Java,13,Medium,N_Correct,10.0
GPT4,Java,14,Medium,N_Correct,11.0
GPT4,Java,15,Medium,N_Correct,11.0
GPT4,Java,16,Medium,N_Correct,13.0
GPT4,Java,17,Medium,N_Correct,11.0
GPT4,Java,18,Medium,N_Correct,10.0
GPT4,Java,19,Medium,N_Correct,10.0
GPT4,Java,20,Medium,N_Correct,10.0
GPT4,Java,21,Medium,N_Correct,12.0
GPT4,Java,22,Medium,N_Correct,12.0
GPT4,Java,23,Medium,N_Correct,8.0
GPT4,Java,24,Medium,N_Logical,0.0
GPT4,Java,25,Medium,N_Correct,10.0
GPT4,Java,26,Medium,N_Correct,10.0
GPT4,Java,27,Medium,N_Correct,12.0
GPT4,Java,28,Medium,N_Correct,11.0
GPT4,Java,29,Medium,N_Correct,8.0
GPT4,Java,30,Medium,N_Correct,11.0
GPT4,Java,31,Medium,N_Correct,11.0
GPT4,Java,32,Medium,N_Correct,11.0
GPT4,Java,33,Medium,N_Correct,11.0
GPT4,Java,34,Medium,N_Correct,9.0
GPT4,Java,35,Medium,N_Correct,9.0
GPT4,Java,36,Medium,N_Correct,9.0
GPT4,Java,37,Medium,N_Correct,11.0
GPT4,Java,38,Medium,N_Correct,16.0
GPT4,Java,39,Medium,N_Correct,11.0
GPT4,Java,40,Medium,N_Correct,11.0
GPT4,Java,41,Medium,N_Correct,10.0
GPT4,Java,42,Medium,N_Correct,11.0
GPT4,Java,43,Medium,N_Logical,0.0
GPT4,Java,44,Medium,N_Correct,9.0
GPT4,Java,45,Medium,N_Correct,11.0
GPT4,Java,46,Medium,N_Correct,11.0
GPT4,Java,47,Medium,N_Correct,11.0
GPT4,Java,48,Medium,N_Correct,13.0
GPT4,Java,49,Medium,N_Correct,12.0
GPT4,Java,50,Medium,N_Correct,10.0
GPT4,Java,51,Medium,N_Correct,12.0
GPT4,Java,52,Medium,N_Correct,10.0
GPT4,Java,53,Medium,N_Correct,9.0
GPT4,Java,54,Medium,N_Correct,9.0
GPT4,Java,55,Medium,N_Correct,12.0
GPT4,Java,56,Medium,N_Correct,12.0
GPT4,Java,57,Medium,N_Correct,13.0
GPT4,Java,58,Medium,N_Correct,11.0
GPT4,Java,59,Medium,N_Correct,12.0
GPT4,Java,60,Medium,N_Correct,11.0
GPT4,Java,61,Medium,N_Correct,8.0
GPT4,Java,62,Medium,N_Correct,12.0
GPT4,Java,63,Medium,N_Correct,10.0
GPT4,Java,64,Medium,N_Correct,11.0
GPT4,Java,65,Medium,N_Correct,11.0
GPT4,Java,66,Medium,N_Logical,0.0
GPT4,Java,67,Medium,N_Correct,11.0
GPT4,Java,68,Medium,N_Correct,11.0
GPT4,Java,69,Medium,N_Logical,0.0
GPT4,Java,70,Medium,N_Correct,10.0
GPT4,Java,71,Medium,N_Correct,11.0
GPT4,Java,72,Medium,N_Correct,11.0
GPT4,Java,73,Medium,N_Efficiency,24.0
GPT4,Java,74,Medium,N_Correct,12.0
GPT4,Java,75,Medium,N_Correct,12.0
GPT4,Java,76,Medium,N_Efficiency,0.0
GPT4,Java,77,Medium,N_Correct,10.0
GPT4,Java,78,Medium,N_Correct,11.0
GPT4,Java,79,Medium,N_Correct,20.0
GPT4,Java,80,Medium,N_Correct,11.0
GPT4,Java,81,Medium,N_Correct,11.0
GPT4,Java,82,Medium,N_Correct,10.0
GPT4,Java,83,Medium,N_Correct,12.0
GPT4,Java,84,Medium,N_Correct,11.0
GPT4,Java,85,Medium,N_Correct,11.0
GPT4,Java,86,Medium,N_Correct,12.0
GPT4,Java,87,Medium,N_Logical,0.0
GPT4,Java,88,Medium,N_Correct,11.0
GPT4,Java,89,Medium,N_Correct,11.0
GPT4,Java,90,Medium,N_Correct,11.0
GPT4,Java,91,Medium,N_Correct,11.0
GPT4,Java,92,Medium,N_Correct,6.0
GPT4,Java,93,Medium,N_Correct,11.0
GPT4,Java,94,Medium,N_Correct,12.0
GPT4,Java,95,Medium,N_Correct,11.0
GPT4,Java,96,Medium,N_Correct,11.0
GPT4,Java,97,Medium,N_Correct,12.0
GPT4,Java,98,Medium,N_Correct,12.0
GPT4,Java,99,Medium,N_Correct,11.0
GPT4,Java,100,Medium,N_Correct,9.0
GPT4,Python,1,Medium,N_Correct,116.92839994793758
GPT4,Python,2,Medium,N_Efficiency,126.49830000009388
GPT4,Python,3,Medium,N_Correct,89.36240000184625
GPT4,Python,4,Medium,N_Correct,86.77169994916767
GPT4,Python,5,Medium,N_Correct,92.68459997838363
GPT4,Python,6,Medium,N_Correct,95.73470003670081
GPT4,Python,7,Medium,N_Correct,85.01959999557585
GPT4,Python,8,Medium,N_Correct,88.5446000029333
GPT4,Python,9,Medium,N_Correct,89.274599973578
GPT4,Python,10,Medium,N_Correct,86.67330001480877
GPT4,Python,11,Medium,N_Correct,99.47870002361014
GPT4,Python,12,Medium,N_Correct,85.76419996097684
GPT4,Python,13,Medium,N_Correct,89.13700003176928
GPT4,Python,14,Medium,N_Correct,82.33990002190694
GPT4,Python,15,Medium,N_Correct,86.66460000677034
GPT4,Python,16,Medium,N_Correct,85.17169998958707
GPT4,Python,17,Medium,N_Correct,90.14310000929981
GPT4,Python,18,Medium,N_Correct,84.01429996592924
GPT4,Python,19,Medium,N_Correct,89.92890000808984
GPT4,Python,20,Medium,N_Correct,88.2088000071235
GPT4,Python,21,Medium,N_Correct,88.06679997360334
GPT4,Python,22,Medium,N_Correct,95.14749998925254
GPT4,Python,23,Medium,N_Correct,82.31379999779165
GPT4,Python,24,Medium,N_Syntax,0.0
GPT4,Python,25,Medium,N_Efficiency,136.92509999964386
GPT4,Python,26,Medium,N_Correct,80.61679999809712
GPT4,Python,27,Medium,N_Efficiency,138.12180003151298
GPT4,Python,28,Medium,N_Correct,83.22219998808578
GPT4,Python,29,Medium,N_Correct,90.82520002266392
GPT4,Python,30,Medium,N_Correct,87.61799999047071
GPT4,Python,31,Medium,N_Correct,94.92010000394657
GPT4,Python,32,Medium,N_Correct,87.48069999273866
GPT4,Python,33,Medium,N_Correct,84.44710000185296
GPT4,Python,34,Medium,N_Correct,89.92469997610897
GPT4,Python,35,Medium,N_Correct,82.79299997957423
GPT4,Python,36,Medium,N_Correct,84.96990002458915
GPT4,Python,37,Medium,N_Correct,97.60000003734604
GPT4,Python,38,Medium,N_Correct,89.26570002222434
GPT4,Python,39,Medium,N_Correct,77.31620001140982
GPT4,Python,40,Medium,N_Correct,94.33019999414682
GPT4,Python,41,Medium,N_Correct,91.31749998778105
GPT4,Python,42,Medium,N_Correct,88.17920001456514
GPT4,Python,43,Medium,N_Correct,86.10260003479198
GPT4,Python,44,Medium,N_Correct,84.53640004154295
GPT4,Python,45,Medium,N_Correct,84.06059996923432
GPT4,Python,46,Medium,N_Correct,93.69070001412183
GPT4,Python,47,Medium,N_Efficiency,130.379099980928
GPT4,Python,48,Medium,N_Correct,83.91049999045208
GPT4,Python,49,Medium,N_Correct,84.69699998386204
GPT4,Python,50,Medium,N_Correct,80.7817000313662
GPT4,Python,51,Medium,N_Correct,90.46700003091246
GPT4,Python,52,Medium,N_Correct,86.88710001297295
GPT4,Python,53,Medium,N_Correct,81.6606999724172
GPT4,Python,54,Medium,N_Correct,87.2834000037983
GPT4,Python,55,Medium,N_Syntax,0.0
GPT4,Python,56,Medium,N_Correct,82.19829999143258
GPT4,Python,57,Medium,N_Correct,89.65430001262575
GPT4,Python,58,Medium,N_Correct,89.75199999986216
GPT4,Python,59,Medium,N_Correct,92.27129997452721
GPT4,Python,60,Medium,N_Correct,119.40020002657548
GPT4,Python,61,Medium,N_Correct,82.53059996059164
GPT4,Python,62,Medium,N_Correct,89.56839999882504
GPT4,Python,63,Medium,N_Syntax,0.0
GPT4,Python,64,Medium,N_Correct,78.47670000046492
GPT4,Python,65,Medium,N_Correct,78.35900003556162
GPT4,Python,66,Medium,N_Efficiency,134.3498000060208
GPT4,Python,67,Medium,N_Correct,89.18859995901585
GPT4,Python,68,Medium,N_Syntax,0.0
GPT4,Python,69,Medium,N_Correct,86.53690002392977
GPT4,Python,70,Medium,N_Correct,77.69060001010075
GPT4,Python,71,Medium,N_Correct,79.73469997523353
GPT4,Python,72,Medium,N_Efficiency,142.87569996668026
GPT4,Python,73,Medium,N_Efficiency,132.3967999778688
GPT4,Python,74,Medium,N_Correct,83.68430001428351
GPT4,Python,75,Medium,N_Correct,87.8748000250198
GPT4,Python,76,Medium,N_Correct,97.97159995650873
GPT4,Python,77,Medium,N_Correct,84.44720000261441
GPT4,Python,78,Medium,N_Correct,92.74930000538006
GPT4,Python,79,Medium,N_Correct,89.72719998564571
GPT4,Python,80,Medium,N_Correct,94.20689998660237
GPT4,Python,81,Medium,N_Correct,89.10560002550483
GPT4,Python,82,Medium,N_Correct,84.32179997907951
GPT4,Python,83,Medium,N_Correct,84.04250000603497
GPT4,Python,84,Medium,N_Correct,81.848900008481
GPT4,Python,85,Medium,N_Efficiency,272.4120000493713
GPT4,Python,86,Medium,N_Efficiency,128.32969997543842
GPT4,Python,87,Medium,N_Correct,87.58569997735322
GPT4,Python,88,Medium,N_Correct,81.32180001121014
GPT4,Python,89,Medium,N_Correct,85.31609998317435
GPT4,Python,90,Medium,N_Correct,88.57119997264817
GPT4,Python,91,Medium,N_Correct,80.20460000261664
GPT4,Python,92,Medium,N_Correct,84.65059997979552
GPT4,Python,93,Medium,N_Correct,87.72320003481582
GPT4,Python,94,Medium,N_Correct,81.74530003452674
GPT4,Python,95,Medium,N_Correct,82.16629998059943
GPT4,Python,96,Medium,N_Correct,82.21239998238161
GPT4,Python,97,Medium,N_Syntax,0.0
GPT4,Python,98,Medium,N_Correct,91.28570003667846
GPT4,Python,99,Medium,N_Correct,84.49239999754354
GPT4,Python,100,Medium,N_Correct,82.12619996629655
GeminiPro,Java,1,Medium,N_Logical,0.0
GeminiPro,Java,2,Medium,N_Logical,0.0
GeminiPro,Java,3,Medium,N_Efficiency,21.0
GeminiPro,Java,4,Medium,N_Logical,0.0
GeminiPro,Java,5,Medium,N_Correct,11.0
GeminiPro,Java,6,Medium,N_Logical,0.0
GeminiPro,Java,7,Medium,N_Correct,12.0
GeminiPro,Java,8,Medium,N_Logical,0.0
GeminiPro,Java,9,Medium,N_Logical,0.0
GeminiPro,Java,10,Medium,N_Logical,0.0
GeminiPro,Java,11,Medium,N_Logical,0.0
GeminiPro,Java,12,Medium,N_Correct,20.0
GeminiPro,Java,13,Medium,N_Logical,0.0
GeminiPro,Java,14,Medium,N_Correct,19.0
GeminiPro,Java,15,Medium,N_Logical,0.0
GeminiPro,Java,16,Medium,N_Correct,19.0
GeminiPro,Java,17,Medium,N_Correct,18.0
GeminiPro,Java,18,Medium,N_Logical,0.0
GeminiPro,Java,19,Medium,N_Efficiency,22.0
GeminiPro,Java,20,Medium,N_Correct,8.0
GeminiPro,Java,21,Medium,N_Logical,0.0
GeminiPro,Java,22,Medium,N_Correct,15.0
GeminiPro,Java,23,Medium,N_Logical,0.0
GeminiPro,Java,24,Medium,N_Correct,13.0
GeminiPro,Java,25,Medium,N_Logical,0.0
GeminiPro,Java,26,Medium,N_Efficiency,23.0
GeminiPro,Java,27,Medium,N_Correct,11.0
GeminiPro,Java,28,Medium,N_Correct,19.0
GeminiPro,Java,29,Medium,N_Correct,7.0
GeminiPro,Java,30,Medium,N_Efficiency,22.0
GeminiPro,Java,31,Medium,N_Logical,0.0
GeminiPro,Java,32,Medium,N_Logical,0.0
GeminiPro,Java,33,Medium,N_Correct,17.0
GeminiPro,Java,34,Medium,N_Logical,0.0
GeminiPro,Java,35,Medium,N_Correct,17.0
GeminiPro,Java,36,Medium,N_Efficiency,21.0
GeminiPro,Java,37,Medium,N_Correct,10.0
GeminiPro,Java,38,Medium,N_Logical,0.0
GeminiPro,Java,39,Medium,N_Logical,0.0
GeminiPro,Java,40,Medium,N_Correct,20.0
GeminiPro,Java,41,Medium,N_Logical,0.0
GeminiPro,Java,42,Medium,N_Correct,20.0
GeminiPro,Java,43,Medium,N_Logical,0.0
GeminiPro,Java,44,Medium,N_Correct,11.0
GeminiPro,Java,45,Medium,N_Logical,0.0
GeminiPro,Java,46,Medium,N_Correct,20.0
GeminiPro,Java,47,Medium,N_Logical,0.0
GeminiPro,Java,48,Medium,N_Logical,0.0
GeminiPro,Java,49,Medium,N_Correct,10.0
GeminiPro,Java,50,Medium,N_Logical,0.0
GeminiPro,Java,51,Medium,N_Logical,0.0
GeminiPro,Java,52,Medium,N_Logical,0.0
GeminiPro,Java,53,Medium,N_Correct,11.0
GeminiPro,Java,54,Medium,N_Logical,0.0
GeminiPro,Java,55,Medium,N_Correct,13.0
GeminiPro,Java,56,Medium,N_Correct,10.0
GeminiPro,Java,57,Medium,N_Logical,0.0
GeminiPro,Java,58,Medium,N_Correct,9.0
GeminiPro,Java,59,Medium,N_Correct,11.0
GeminiPro,Java,60,Medium,N_Efficiency,21.0
GeminiPro,Java,61,Medium,N_Efficiency,23.0
GeminiPro,Java,62,Medium,N_Correct,9.0
GeminiPro,Java,63,Medium,N_Correct,19.0
GeminiPro,Java,64,Medium,N_Efficiency,22.0
GeminiPro,Java,65,Medium,N_Logical,0.0
GeminiPro,Java,66,Medium,N_Correct,2.0
GeminiPro,Java,67,Medium,N_Efficiency,24.0
GeminiPro,Java,68,Medium,N_Efficiency,26.0
GeminiPro,Java,69,Medium,N_Correct,8.0
GeminiPro,Java,70,Medium,N_Logical,0.0
GeminiPro,Java,71,Medium,N_Correct,20.0
GeminiPro,Java,72,Medium,N_Correct,10.0
GeminiPro,Java,73,Medium,N_Correct,11.0
GeminiPro,Java,74,Medium,N_Efficiency,22.0
GeminiPro,Java,75,Medium,N_Logical,0.0
GeminiPro,Java,76,Medium,N_Correct,9.0
GeminiPro,Java,77,Medium,N_Logical,0.0
GeminiPro,Java,78,Medium,N_Correct,10.0
GeminiPro,Java,79,Medium,N_Correct,16.0
GeminiPro,Java,80,Medium,N_Correct,20.0
GeminiPro,Java,81,Medium,N_Logical,0.0
GeminiPro,Java,82,Medium,N_Correct,14.0
GeminiPro,Java,83,Medium,N_Logical,0.0
GeminiPro,Java,84,Medium,N_Efficiency,22.0
GeminiPro,Java,85,Medium,N_Logical,0.0
GeminiPro,Java,86,Medium,N_Logical,0.0
GeminiPro,Java,87,Medium,N_Efficiency,24.0
GeminiPro,Java,88,Medium,N_Logical,0.0
GeminiPro,Java,89,Medium,N_Logical,0.0
GeminiPro,Java,90,Medium,N_Correct,16.0
GeminiPro,Java,91,Medium,N_Logical,0.0
GeminiPro,Java,92,Medium,N_Logical,0.0
GeminiPro,Java,93,Medium,N_Logical,0.0
GeminiPro,Java,94,Medium,N_Correct,8.0
GeminiPro,Java,95,Medium,N_Correct,11.0
GeminiPro,Java,96,Medium,N_Logical,0.0
GeminiPro,Java,97,Medium,N_Logical,0.0
GeminiPro,Java,99,Medium,N_Correct,7.0
GeminiPro,Java,100,Medium,N_Correct,11.0
GeminiPro,Python,1,Medium,N_Correct,94.61359999841079
GeminiPro,Python,2,Medium,N_Correct,88.59179995488375
GeminiPro,Python,3,Medium,N_Correct,89.22999998321757
GeminiPro,Python,4,Medium,N_Correct,92.12909999769181
GeminiPro,Python,5,Medium,N_Correct,91.48649999406189
GeminiPro,Python,6,Medium,N_Correct,94.9655000003986
GeminiPro,Python,7,Medium,N_Correct,83.17739999620244
GeminiPro,Python,8,Medium,N_Correct,90.9080000128597
GeminiPro,Python,9,Medium,N_Efficiency,228.06019999552518
GeminiPro,Python,10,Medium,N_Correct,100.9425999945961
GeminiPro,Python,11,Medium,N_Correct,93.33830000832677
GeminiPro,Python,12,Medium,N_Correct,88.83190003689378
GeminiPro,Python,13,Medium,N_Correct,85.55359998717904
GeminiPro,Python,14,Medium,N_Correct,92.6156000350602
GeminiPro,Python,15,Medium,N_Correct,90.89669998502359
GeminiPro,Python,16,Medium,N_Correct,97.78289997484535
GeminiPro,Python,17,Medium,N_Correct,102.39140002522618
GeminiPro,Python,18,Medium,N_Correct,124.0502999862656
GeminiPro,Python,19,Medium,N_Efficiency,211.34899999015033
GeminiPro,Python,20,Medium,N_Correct,89.85990000655875
GeminiPro,Python,21,Medium,N_Correct,90.7221999950707
GeminiPro,Python,22,Medium,N_Correct,91.97880001738667
GeminiPro,Python,23,Medium,N_Correct,96.1140000144951
GeminiPro,Python,24,Medium,N_Correct,93.74009998282418
GeminiPro,Python,25,Medium,N_Correct,82.66379998531193
GeminiPro,Python,26,Medium,N_Correct,101.97690001223236
GeminiPro,Python,27,Medium,N_Correct,97.20959997503087
GeminiPro,Python,28,Medium,N_Correct,99.10890000173822
GeminiPro,Python,29,Medium,N_Correct,83.20709998952225
GeminiPro,Python,30,Medium,N_Correct,81.9533999892883
GeminiPro,Python,31,Medium,N_Correct,92.79199998127297
GeminiPro,Python,32,Medium,N_Correct,86.94579999428242
GeminiPro,Python,33,Medium,N_Correct,98.23089995188639
GeminiPro,Python,34,Medium,N_Correct,89.44880001945421
GeminiPro,Python,35,Medium,N_Efficiency,205.62039996730164
GeminiPro,Python,36,Medium,N_Correct,92.31740003451705
GeminiPro,Python,37,Medium,N_Efficiency,218.2355000404641
GeminiPro,Python,38,Medium,N_Correct,97.13660000124946
GeminiPro,Python,39,Medium,N_Correct,84.01330001652241
